"codes","official_explanation"
"E11.3592","Null"
"E11.3593","Null"
"E11.36","Type 2 diabetes mellitus with diabetic cataract"
"E11.39","Type 2 diabetes mellitus with other diabetic ophthalmic complication"
"E11.44","Type 2 diabetes mellitus with diabetic amyotrophy"
"E11.52","Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene"
"E11.649","Type 2 diabetes mellitus with hypoglycemia without coma"
"E11.65","Type 2 diabetes mellitus with hyperglycemia"
"E11.69","Type 2 diabetes mellitus with other specified complication"
"E11.8","Null"
"E11.9","Other activity involving computer technology and electronic devices"
"E13.311","Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema"
"E13.319","Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema"
"E13.321","Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema"
"E13.329","Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema"
"E13.331","Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema"
"E13.339","Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema"
"E13.341","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema"
"E13.349","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema"
"E13.351","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema"
"E13.359","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema"
"E13.36","Other specified diabetes mellitus with diabetic cataract"
"E13.39","Other specified diabetes mellitus with other diabetic ophthalmic complication"
"E13.69","Other specified diabetes mellitus with other specified complication"
"E13.8","Other personal hygiene activity"
"E13.9","Other household maintenance"
"E23.2","Null"
"E23.7","Null"
"E70.30","Albinism, unspecified"
"E78.0","Null"
"E78.5","Null"
"E89.0","Null"
"E914","Foreign body accidentally entering eye and adnexa"
"E986","Injury by cutting and piercing instruments, undetermined whether accidentally or purposely inflicted"
"F03.90","Unspecified dementia without behavioral disturbance"
"F06.0","Psychotic disorder with hallucinations due to known physiological condition"
"F07.81","Postconcussional syndrome"
"F20.9","Schizophrenia, unspecified"
"F60.1","Schizoid personality disorder"
"F63.3","Trichotillomania"
"G04.30","Acute necrotizing hemorrhagic encephalopathy, unspecified"
"G24.5","Blepharospasm"
"G35","Multiple sclerosis"
"G36.0","Neuromyelitis optica [Devic]"
"G40.A09","Absence epileptic syndrome, not intractable, without status epilepticus"
"G43.109","Migraine with aura, not intractable, without status migrainosus"
"G43.119","Migraine with aura, intractable, without status migrainosus"
"G43.B0","Ophthalmoplegic migraine, not intractable"
"G43.B1","Ophthalmoplegic migraine, intractable"
"G43.C0","Periodic headache syndromes in child or adult, not intractable"
"G44.1","Vascular headache, not elsewhere classified"
"G44.201","Tension-type headache, unspecified, intractable"
"G44.89","Other headache syndrome"
"G45.3","Amaurosis fugax"
"G45.9","Transient cerebral ischemic attack, unspecified"
"G46.4","Cerebellar stroke syndrome"
"G50.0","Trigeminal neuralgia"
"G50.1","Atypical facial pain"
"G51.0","Bell's palsy"
"G51.3","Clonic hemifacial spasm"
"G51.4","Facial myokymia"
"G51.9","Disorder of facial nerve, unspecified"
"G52.9","Cranial nerve disorder, unspecified"
"G70.00","Myasthenia gravis without (acute) exacerbation"
"G80.9","Cerebral palsy, unspecified"
"G90.2","Horner's syndrome"
"G91.2","(Idiopathic) normal pressure hydrocephalus"
"G93.2","Benign intracranial hypertension"
"H00.011","Hordeolum externum right upper eyelid"
"H00.012","Hordeolum externum right lower eyelid"
"H00.014","Hordeolum externum left upper eyelid"
"H00.015","Hordeolum externum left lower eyelid"
"H00.021","Hordeolum internum right upper eyelid"
"H00.022","Hordeolum internum right lower eyelid"
"H00.024","Hordeolum internum left upper eyelid"
"H00.025","Hordeolum internum left lower eyelid"
"H00.031","Abscess of right upper eyelid"
"H00.032","Abscess of right lower eyelid"
"H00.034","Abscess of left upper eyelid"
"H00.035","Abscess of left lower eyelid"
"H00.11","Chalazion right upper eyelid"
"H00.12","Chalazion right lower eyelid"
"H00.14","Chalazion left upper eyelid"
"H00.15","Chalazion left lower eyelid"
"H01.001","Unspecified blepharitis right upper eyelid"
"H01.002","Unspecified blepharitis right lower eyelid"
"H01.004","Unspecified blepharitis left upper eyelid"
"H01.005","Unspecified blepharitis left lower eyelid"
"H01.011","Ulcerative blepharitis right upper eyelid"
"H01.012","Ulcerative blepharitis right lower eyelid"
"H01.014","Ulcerative blepharitis left upper eyelid"
"H01.015","Ulcerative blepharitis left lower eyelid"
"H01.021","Squamous blepharitis right upper eyelid"
"H01.022","Squamous blepharitis right lower eyelid"
"H01.024","Squamous blepharitis left upper eyelid"
"H01.025","Squamous blepharitis left lower eyelid"
"H01.111","Allergic dermatitis of right upper eyelid"
"H01.132","Eczematous dermatitis of right lower eyelid"
"H01.134","Eczematous dermatitis of left upper eyelid"
"H01.135","Eczematous dermatitis of left lower eyelid"
"H01.8","Other specified inflammations of eyelid"
"H01.9","Unspecified inflammation of eyelid"
"H02.002","Unspecified entropion of right lower eyelid"
"H02.011","Cicatricial entropion of right upper eyelid"
"H02.012","Cicatricial entropion of right lower eyelid"
"H02.032","Senile entropion of right lower eyelid"
"H02.035","Senile entropion of left lower eyelid"
"H02.051","Trichiasis without entropian right upper eyelid"
"H02.052","Trichiasis without entropian right lower eyelid"
"H02.054","Trichiasis without entropian left upper eyelid"
"H02.055","Trichiasis without entropian left lower eyelid"
"H02.102","Unspecified ectropion of right lower eyelid"
"H02.105","Unspecified ectropion of left lower eyelid"
"H02.115","Cicatricial ectropion of left lower eyelid"
"H02.122","Mechanical ectropion of right lower eyelid"
"H02.132","Senile ectropion of right lower eyelid"
"H02.135","Senile ectropion of left lower eyelid"
"H02.201","Unspecified lagophthalmos right upper eyelid"
"H02.202","Unspecified lagophthalmos right lower eyelid"
"H02.204","Unspecified lagophthalmos left upper eyelid"
"H02.205","Unspecified lagophthalmos left lower eyelid"
"H02.221","Mechanical lagophthalmos right upper eyelid"
"H02.224","Mechanical lagophthalmos left upper eyelid"
"H02.231","Paralytic lagophthalmos right upper eyelid"
"H02.235","Paralytic lagophthalmos left lower eyelid"
"H02.31","Blepharochalasis right upper eyelid"
"H02.32","Blepharochalasis right lower eyelid"
"H02.35","Blepharochalasis left lower eyelid"
"H02.401","Unspecified ptosis of right eyelid"
"H02.402","Unspecified ptosis of left eyelid"
"H02.403","Unspecified ptosis of bilateral eyelids"
"H02.411","Mechanical ptosis of right eyelid"
"H02.412","Mechanical ptosis of left eyelid"
"H02.413","Mechanical ptosis of bilateral eyelids"
"H02.421","Myogenic ptosis of right eyelid"
"H02.422","Myogenic ptosis of left eyelid"
"H02.423","Myogenic ptosis of bilateral eyelids"
"H02.432","Paralytic ptosis of left eyelid"
"H02.59","Other disorders affecting eyelid function"
"H02.61","Xanthelasma of right upper eyelid"
"H02.64","Xanthelasma of left upper eyelid"
"H02.65","Xanthelasma of left lower eyelid"
"H02.711","Chloasma of right upper eyelid and periocular area"
"H02.724","Madarosis of left upper eyelid and periocular area"
"H02.725","Madarosis of left lower eyelid and periocular area"
"H02.811","Retained foreign body in right upper eyelid"
"H02.821","Cysts of right upper eyelid"
"H02.822","Cysts of right lower eyelid"
"H02.824","Cysts of left upper eyelid"
"H02.825","Cysts of left lower eyelid"
"H02.831","Dermatochalasis of right upper eyelid"
"H02.834","Dermatochalasis of left upper eyelid"
"H02.835","Dermatochalasis of left lower eyelid"
"H02.841","Edema of right upper eyelid"
"H02.842","Edema of right lower eyelid"
"H02.844","Edema of left upper eyelid"
"H02.845","Edema of left lower eyelid"
"H02.861","Hypertrichosis of right upper eyelid"
"H02.862","Hypertrichosis of right lower eyelid"
"H02.864","Hypertrichosis of left upper eyelid"
"H02.865","Hypertrichosis of left lower eyelid"
"H02.89","Other specified disorders of eyelid"
"H02.9","Unspecified disorder of eyelid"
"H04.001","Unspecified dacryoadenitis, right lacrimal gland"
"H04.033","Chronic enlargement of bilateral lacrimal glands"
"H04.121","Dry eye syndrome of right lacrimal gland"
"H04.122","Dry eye syndrome of left lacrimal gland"
"H04.123","Dry eye syndrome of bilateral lacrimal glands"
"H04.132","Lacrimal cyst, left lacrimal gland"
"H04.201","Unspecified epiphora, right lacrimal gland"
"H04.202","Unspecified epiphora, left lacrimal gland"
"H04.203","Unspecified epiphora, bilateral lacrimal glands"
"H04.221","Epiphora due to insufficient drainage, right lacrimal gland"
"H04.222","Epiphora due to insufficient drainage, left lacrimal gland"
"H04.331","Acute lacrimal canaliculitis of right lacrimal passage"
"H04.413","Chronic dacryocystitis of bilateral lacrimal passages"
"H04.522","Eversion of left lacrimal punctum"
"H04.543","Stenosis of bilateral lacrimal canaliculi"
"H04.551","Acquired stenosis of right nasolacrimal duct"
"H04.552","Acquired stenosis of left nasolacrimal duct"
"H04.562","Stenosis of left lacrimal punctum"
"H04.563","Stenosis of bilateral lacrimal punctum"
"H05.011","Cellulitis of right orbit"
"H05.012","Cellulitis of left orbit"
"H05.013","Cellulitis of bilateral orbits"
"H05.20","Unspecified exophthalmos"
"H05.241","Constant exophthalmos, right eye"
"H05.243","Constant exophthalmos, bilateral"
"H05.30","Unspecified deformity of orbit"
"H05.311","Atrophy of right orbit"
"H05.812","Cyst of left orbit"
"H05.823","Myopathy of extraocular muscles, bilateral"
"H05.89","Other disorders of orbit"
"H10.011","Acute follicular conjunctivitis, right eye"
"H10.012","Acute follicular conjunctivitis, left eye"
"H10.013","Acute follicular conjunctivitis, bilateral"
"H10.023","Other mucopurulent conjunctivitis, bilateral"
"H10.12","Acute atopic conjunctivitis, left eye"
"H10.13","Acute atopic conjunctivitis, bilateral"
"H10.211","Acute toxic conjunctivitis, right eye"
"H10.233","Serous conjunctivitis, except viral, bilateral"
"H10.32","Unspecified acute conjunctivitis, left eye"
"H10.33","Unspecified acute conjunctivitis, bilateral"
"H10.401","Unspecified chronic conjunctivitis, right eye"
"H10.402","Unspecified chronic conjunctivitis, left eye"
"H10.433","Chronic follicular conjunctivitis, bilateral"
"H10.45","Other chronic allergic conjunctivitis"
"H10.501","Unspecified blepharoconjunctivitis, right eye"
"H10.502","Unspecified blepharoconjunctivitis, left eye"
"H10.503","Unspecified blepharoconjunctivitis, bilateral"
"H10.811","Pingueculitis, right eye"
"H10.812","Pingueculitis, left eye"
"H10.89","Other conjunctivitis"
"H10.9","Unspecified conjunctivitis"
"H11.001","Unspecified pterygium of right eye"
"H11.002","Unspecified pterygium of left eye"
"H11.003","Unspecified pterygium of eye, bilateral"
"H11.012","Amyloid pterygium of left eye"
"H11.021","Central pterygium of right eye"
"H11.022","Central pterygium of left eye"
"H11.032","Double pterygium of left eye"
"H11.041","Peripheral pterygium, stationary, right eye"
"H11.042","Peripheral pterygium, stationary, left eye"
"H11.043","Peripheral pterygium, stationary, bilateral"
"H11.053","Peripheral pterygium, progressive, bilateral"
"H11.112","Conjunctival deposits, left eye"
"H11.113","Conjunctival deposits, bilateral"
"H11.123","Conjunctival concretions, bilateral"
"H11.131","Conjunctival pigmentations, right eye"
"H11.133","Conjunctival pigmentations, bilateral"
"H11.151","Pinguecula, right eye"
"H11.152","Pinguecula, left eye"
"H11.153","Pinguecula, bilateral"
"H11.222","Conjunctival granuloma, left eye"
"H11.232","Symblepharon, left eye"
"H11.242","Scarring of conjunctiva, left eye"
"H11.31","Conjunctival hemorrhage, right eye"
"H11.32","Conjunctival hemorrhage, left eye"
"H11.423","Conjunctival edema, bilateral"
"H11.431","Conjunctival hyperemia, right eye"
"H11.433","Conjunctival hyperemia, bilateral"
"H11.442","Conjunctival cysts, left eye"
"H11.443","Conjunctival cysts, bilateral"
"H11.821","Conjunctivochalasis, right eye"
"H11.823","Conjunctivochalasis, bilateral"
"H11.9","Unspecified disorder of conjunctiva"
"H15.011","Anterior scleritis, right eye"
"H15.012","Anterior scleritis, left eye"
"H15.013","Anterior scleritis, bilateral"
"H15.031","Posterior scleritis, right eye"
"H15.032","Posterior scleritis, left eye"
"H15.033","Posterior scleritis, bilateral"
"H15.101","Unspecified episcleritis, right eye"
"H15.102","Unspecified episcleritis, left eye"
"H15.103","Unspecified episcleritis, bilateral"
"H15.111","Episcleritis periodica fugax, right eye"
"H15.112","Episcleritis periodica fugax, left eye"
"H15.113","Episcleritis periodica fugax, bilateral"
"H15.122","Nodular episcleritis, left eye"
"H15.833","Staphyloma posticum, bilateral"
"H15.842","Scleral ectasia, left eye"
"H16.001","Unspecified corneal ulcer, right eye"
"H16.002","Unspecified corneal ulcer, left eye"
"H16.012","Central corneal ulcer, left eye"
"H16.023","Ring corneal ulcer, bilateral"
"H16.041","Marginal corneal ulcer, right eye"
"H16.042","Marginal corneal ulcer, left eye"
"H16.043","Marginal corneal ulcer, bilateral"
"H16.101","Unspecified superficial keratitis, right eye"
"H16.103","Unspecified superficial keratitis, bilateral"
"H16.122","Filamentary keratitis, left eye"
"H16.123","Filamentary keratitis, bilateral"
"H16.141","Punctate keratitis, right eye"
"H16.142","Punctate keratitis, left eye"
"H16.143","Punctate keratitis, bilateral"
"H16.202","Unspecified keratoconjunctivitis, left eye"
"H16.203","Unspecified keratoconjunctivitis, bilateral"
"H16.212","Exposure keratoconjunctivitis, left eye"
"H16.213","Exposure keratoconjunctivitis, bilateral"
"H16.222","Keratoconjunctivitis sicca, not specified as Sjogren's, left eye"
"H16.223","Keratoconjunctivitis sicca, not specified as Sjogren's, bilateral"
"H16.232","Neurotrophic keratoconjunctivitis, left eye"
"H16.252","Phlyctenular keratoconjunctivitis, left eye"
"H16.253","Phlyctenular keratoconjunctivitis, bilateral"
"H16.291","Other keratoconjunctivitis, right eye"
"H16.292","Other keratoconjunctivitis, left eye"
"H16.293","Other keratoconjunctivitis, bilateral"
"H16.301","Unspecified interstitial keratitis, right eye"
"H16.321","Diffuse interstitial keratitis, right eye"
"H16.393","Other interstitial and deep keratitis, bilateral"
"H16.402","Unspecified corneal neovascularization, left eye"
"H16.403","Unspecified corneal neovascularization, bilateral"
"H16.423","Pannus (corneal), bilateral"
"H16.9","Unspecified keratitis"
"H17.11","Central corneal opacity, right eye"
"H17.12","Central corneal opacity, left eye"
"H17.13","Central corneal opacity, bilateral"
"H17.812","Minor opacity of cornea, left eye"
"H17.813","Minor opacity of cornea, bilateral"
"H17.821","Peripheral opacity of cornea, right eye"
"H17.823","Peripheral opacity of cornea, bilateral"
"H17.89","Other corneal scars and opacities"
"H17.9","Unspecified corneal scar and opacity"
"H18.001","Unspecified corneal deposit, right eye"
"H18.003","Unspecified corneal deposit, bilateral"
"H18.051","Posterior corneal pigmentations, right eye"
"H18.053","Posterior corneal pigmentations, bilateral"
"H18.11","Bullous keratopathy, right eye"
"H18.12","Bullous keratopathy, left eye"
"H18.20","Unspecified corneal edema"
"H18.211","Corneal edema secondary to contact lens, right eye"
"H18.212","Corneal edema secondary to contact lens, left eye"
"H18.221","Idiopathic corneal edema, right eye"
"H18.222","Idiopathic corneal edema, left eye"
"H18.223","Idiopathic corneal edema, bilateral"
"H18.231","Secondary corneal edema, right eye"
"H18.232","Secondary corneal edema, left eye"
"H18.233","Secondary corneal edema, bilateral"
"H18.40","Unspecified corneal degeneration"
"H18.412","Arcus senilis, left eye"
"H18.413","Arcus senilis, bilateral"
"H18.421","Band keratopathy, right eye"
"H18.422","Band keratopathy, left eye"
"H18.423","Band keratopathy, bilateral"
"H18.453","Nodular corneal degeneration, bilateral"
"H18.463","Peripheral corneal degeneration, bilateral"
"H18.49","Other corneal degeneration"
"H18.50","Unspecified hereditary corneal dystrophies"
"H18.51","Endothelial corneal dystrophy"
"H18.52","Epithelial (juvenile) corneal dystrophy"
"H18.54","Lattice corneal dystrophy"
"H18.55","Macular corneal dystrophy"
"H18.59","Other hereditary corneal dystrophies"
"H18.601","Keratoconus, unspecified, right eye"
"H18.602","Keratoconus, unspecified, left eye"
"H18.603","Keratoconus, unspecified, bilateral"
"H18.611","Keratoconus, stable, right eye"
"H18.612","Keratoconus, stable, left eye"
"H18.613","Keratoconus, stable, bilateral"
"H18.621","Keratoconus, unstable, right eye"
"H18.622","Keratoconus, unstable, left eye"
"H18.623","Keratoconus, unstable, bilateral"
"H18.711","Corneal ectasia, right eye"
"H18.713","Corneal ectasia, bilateral"
"H18.791","Other corneal deformities, right eye"
"H18.792","Other corneal deformities, left eye"
"H18.821","Corneal disorder due to contact lens, right eye"
"H18.823","Corneal disorder due to contact lens, bilateral"
"H18.831","Recurrent erosion of cornea, right eye"
"H18.832","Recurrent erosion of cornea, left eye"
"H18.833","Recurrent erosion of cornea, bilateral"
"H18.891","Other specified disorders of cornea, right eye"
"H18.892","Other specified disorders of cornea, left eye"
"H18.893","Other specified disorders of cornea, bilateral"
"H18.9","Unspecified disorder of cornea"
"H20.00","Unspecified acute and subacute iridocyclitis"
"H20.011","Primary iridocyclitis, right eye"
"H20.012","Primary iridocyclitis, left eye"
"H20.013","Primary iridocyclitis, bilateral"
"H20.021","Recurrent acute iridocyclitis, right eye"
"H20.022","Recurrent acute iridocyclitis, left eye"
"H20.023","Recurrent acute iridocyclitis, bilateral"
"H20.031","Secondary infectious iridocyclitis, right eye"
"H20.033","Secondary infectious iridocyclitis, bilateral"
"H20.041","Secondary noninfectious iridocyclitis, right eye"
"H20.042","Secondary noninfectious iridocyclitis, left eye"
"H20.043","Secondary noninfectious iridocyclitis, bilateral"
"H20.11","Chronic iridocyclitis, right eye"
"H20.12","Chronic iridocyclitis, left eye"
"H20.13","Chronic iridocyclitis, bilateral"
"H20.9","Unspecified iridocyclitis"
"H21.01","Hyphema, right eye"
"H21.02","Hyphema, left eye"
"H21.1X1","Other vascular disorders of iris and ciliary body, right eye"
"H21.1X2","Other vascular disorders of iris and ciliary body, left eye"
"H21.1X3","Other vascular disorders of iris and ciliary body, bilateral"
"H21.233","Degeneration of iris (pigmentary), bilateral"
"H21.261","Iris atrophy (essential) (progressive), right eye"
"H21.29","Other iris atrophy"
"H21.303","Idiopathic cysts of iris, ciliary body or anterior chamber, bilateral"
"H21.42","Pupillary membranes, left eye"
"H21.502","Unspecified adhesions of iris, left eye"
"H21.511","Anterior synechiae (iris), right eye"
"H21.512","Anterior synechiae (iris), left eye"
"H21.521","Goniosynechiae, right eye"
"H21.531","Iridodialysis, right eye"
"H21.532","Iridodialysis, left eye"
"H21.541","Posterior synechiae (iris), right eye"
"H21.542","Posterior synechiae (iris), left eye"
"H21.543","Posterior synechiae (iris), bilateral"
"H21.551","Recession of chamber angle, right eye"
"H21.553","Recession of chamber angle, bilateral"
"H21.561","Pupillary abnormality, right eye"
"H21.562","Pupillary abnormality, left eye"
"H21.563","Pupillary abnormality, bilateral"
"H21.82","Plateau iris syndrome (post-iridectomy) (postprocedural)"
"H21.89","Other specified disorders of iris and ciliary body"
"H21.9","Unspecified disorder of iris and ciliary body"
"H25.011","Cortical age-related cataract, right eye"
"H25.012","Cortical age-related cataract, left eye"
"H25.013","Cortical age-related cataract, bilateral"
"H25.033","Anterior subcapsular polar age-related cataract, bilateral"
"H25.041","Posterior subcapsular polar age-related cataract, right eye"
"H25.042","Posterior subcapsular polar age-related cataract, left eye"
"H25.043","Posterior subcapsular polar age-related cataract, bilateral"
"H25.091","Other age-related incipient cataract, right eye"
"H25.093","Other age-related incipient cataract, bilateral"
"H25.11","Age-related nuclear cataract, right eye"
"H25.12","Age-related nuclear cataract, left eye"
"H25.13","Age-related nuclear cataract, bilateral"
"H25.21","Age-related cataract, morgagnian type, right eye"
"H25.22","Age-related cataract, morgagnian type, left eye"
"H25.23","Age-related cataract, morgagnian type, bilateral"
"H25.811","Combined forms of age-related cataract, right eye"
"H25.812","Combined forms of age-related cataract, left eye"
"H25.813","Combined forms of age-related cataract, bilateral"
"H25.89","Other age-related cataract"
"H25.9","Unspecified age-related cataract"
"H26.001","Unspecified infantile and juvenile cataract, right eye"
"H26.012","Infantile and juvenile cortical, lamellar, or zonular cataract, left eye"
"H26.051","Posterior subcapsular polar infantile and juvenile cataract, right eye"
"H26.101","Unspecified traumatic cataract, right eye"
"H26.102","Unspecified traumatic cataract, left eye"
"H26.111","Localized traumatic opacities, right eye"
"H26.112","Localized traumatic opacities, left eye"
"H26.131","Total traumatic cataract, right eye"
"H26.132","Total traumatic cataract, left eye"
"H26.40","Unspecified secondary cataract"
"H26.491","Other secondary cataract, right eye"
"H26.492","Other secondary cataract, left eye"
"H26.493","Other secondary cataract, bilateral"
"H26.8","Other specified cataract"
"H26.9","Unspecified cataract"
"H27.01","Aphakia, right eye"
"H27.02","Aphakia, left eye"
"H27.03","Aphakia, bilateral"
"H27.10","Unspecified dislocation of lens"
"H27.131","Posterior dislocation of lens, right eye"
"H27.8","Other specified disorders of lens"
"H27.9","Unspecified disorder of lens"
"H28","Cataract in diseases classified elsewhere"
"H30.003","Unspecified focal chorioretinal inflammation, bilateral"
"H30.101","Unspecified disseminated chorioretinal inflammation, right eye"
"H30.132","Disseminated chorioretinal inflammation, generalized, left eye"
"H30.143","Acute posterior multifocal placoid pigment epitheliopathy, bilateral"
"H30.22","Posterior cyclitis, left eye"
"H30.892","Other chorioretinal inflammations, left eye"
"H30.91","Unspecified chorioretinal inflammation, right eye"
