"codes","official_explanation"
"362.53","Cystoid macular degeneration"
"362.54","Macular cyst, hole, or pseudohole"
"362.55","Toxic maculopathy"
"362.56","Macular puckering"
"362.57","Drusen (degenerative)"
"362.60","Peripheral retinal degeneration, unspecified"
"362.61","Paving stone degeneration"
"362.63","Lattice degeneration"
"362.64","Senile reticular degeneration"
"362.65","Secondary pigmentary degeneration"
"362.66","Secondary vitreoretinal degenerations"
"362.70","Hereditary retinal dystrophy, unspecified"
"362.74","Pigmentary retinal dystrophy"
"362.75","Other dystrophies primarily involving the sensory retina"
"362.76","Dystrophies primarily involving the retinal pigment epithelium"
"362.77","Dystrophies primarily involving Bruch's membrane"
"362.81","Retinal hemorrhage"
"362.82","Retinal exudates and deposits"
"362.83","Retinal edema"
"362.84","Retinal ischemia"
"362.85","Retinal nerve fiber bundle defects"
"362.89","Other retinal disorders"
"362.9","Unspecified retinal disorder"
"363.00","Focal chorioretinitis, unspecified"
"363.03","Focal choroiditis and chorioretinitis of other posterior pole"
"363.04","Focal choroiditis and chorioretinitis, peripheral"
"363.05","Focal retinitis and retinochoroiditis, juxtapapillary"
"363.12","Disseminated choroiditis and chorioretinitis, peripheral"
"363.13","Disseminated choroiditis and chorioretinitis, generalized"
"363.15","Disseminated retinitis and retinochoroiditis, pigment epitheliopathy"
"363.20","Chorioretinitis, unspecified"
"363.21","Pars planitis"
"363.30","Chorioretinal scar, unspecified"
"363.31","Solar retinopathy"
"363.32","Other macular scars"
"363.33","Other scars of posterior pole"
"363.34","Peripheral scars"
"363.40","Choroidal degeneration, unspecified"
"363.41","Senile atrophy of choroid"
"363.43","Angioid streaks of choroid"
"363.50","Hereditary choroidal dystrophy or atrophy, unspecified"
"363.51","Circumpapillary dystrophy of choroid, partial"
"363.54","Central choroidal atrophy, total"
"363.61","Choroidal hemorrhage, unspecified"
"363.63","Choroidal rupture"
"363.70","Choroidal detachment, unspecified"
"363.71","Serous choroidal detachment"
"363.8","Other disorders of choroid"
"363.9","Unspecified disorder of choroid"
"364.00","Acute and subacute iridocyclitis, unspecified"
"364.01","Primary iridocyclitis"
"364.02","Recurrent iridocyclitis"
"364.03","Secondary iridocyclitis, infectious"
"364.04","Secondary iridocyclitis, noninfectious"
"364.05","Hypopyon"
"364.10","Chronic iridocyclitis, unspecified"
"364.21","Fuchs' heterochromic cyclitis"
"364.3","Unspecified iridocyclitis"
"364.41","Hyphema of iris and ciliary body"
"364.42","Rubeosis iridis"
"364.51","Essential or progressive iris atrophy"
"364.53","Pigmentary iris degeneration"
"364.59","Other iris atrophy"
"364.60","Idiopathic cysts of iris, ciliary body, and anterior chamber"
"364.63","Primary cyst of pars plana"
"364.70","Adhesions of iris, unspecified"
"364.71","Posterior synechiae of iris"
"364.72","Anterior synechiae of iris"
"364.73","Goniosynechiae"
"364.74","Adhesions and disruptions of pupillary membranes"
"364.75","Pupillary abnormalities"
"364.76","Iridodialysis"
"364.77","Recession of chamber angle of eye"
"364.81","Floppy iris syndrome"
"364.82","Plateau iris syndrome"
"364.89","Other disorders of iris and ciliary body"
"364.9","Unspecified disorder of iris and ciliary body"
"365","Glaucoma"
"365.00","Preglaucoma, unspecified"
"365.01","Open angle with borderline findings, low risk"
"365.02","Anatomical narrow angle borderline glaucoma"
"365.03","Steroid responders borderline glaucoma"
"365.04","Ocular hypertension"
"365.05","Open angle with borderline findings, high risk"
"365.06","Primary angle closure without glaucoma damage"
"365.1","Sinoatrial node dysfunction"
"365.10","Open-angle glaucoma, unspecified"
"365.11","Primary open angle glaucoma"
"365.12","Low tension open-angle glaucoma"
"365.13","Pigmentary open-angle glaucoma"
"365.14","Glaucoma of childhood"
"365.15","Residual stage of open angle glaucoma"
"365.20","Primary angle-closure glaucoma, unspecified"
"365.21","Intermittent angle-closure glaucoma"
"365.22","Acute angle-closure glaucoma"
"365.23","Chronic angle-closure glaucoma"
"365.24","Residual stage of angle-closure glaucoma"
"365.31","Corticosteroid-induced glaucoma, glaucomatous stage"
"365.41","Glaucoma associated with chamber angle anomalies"
"365.42","Glaucoma associated with anomalies of iris"
"365.43","Glaucoma associated with other anterior segment anomalies"
"365.51","Phacolytic glaucoma"
"365.52","Pseudoexfoliation glaucoma"
"365.59","Glaucoma associated with other lens disorders"
"365.60","Glaucoma associated with unspecified ocular disorder"
"365.62","Glaucoma associated with ocular inflammations"
"365.63","Glaucoma associated with vascular disorders"
"365.65","Glaucoma associated with ocular trauma"
"365.70","Glaucoma stage, unspecified"
"365.71","Mild stage glaucoma"
"365.72","Moderate stage glaucoma"
"365.73","Severe stage glaucoma"
"365.74","Indeterminate stage glaucoma"
"365.83","Aqueous misdirection"
"365.89","Other specified glaucoma"
"365.9","Unspecified glaucoma"
"366.00","Nonsenile cataract, unspecified"
"366.01","Anterior subcapsular polar cataract"
"366.02","Posterior subcapsular polar cataract"
"366.03","Cortical, lamellar, or zonular cataract"
"366.04","Nuclear cataract"
"366.09","Other and combined forms of nonsenile cataract"
"366.10","Senile cataract, unspecified"
"366.11","Pseudoexfoliation of lens capsule"
"366.12","Incipient senile cataract"
"366.13","Anterior subcapsular polar senile cataract"
"366.14","Posterior subcapsular polar senile cataract"
"366.15","Cortical senile cataract"
"366.16","Senile nuclear sclerosis"
"366.17","Total or mature cataract"
"366.18","Hypermature cataract"
"366.19","Other and combined forms of senile cataract"
"366.20","Traumatic cataract, unspecified"
"366.22","Total traumatic cataract"
"366.30","Cataracta complicata, unspecified"
"366.31","Glaucomatous flecks (subcapsular)"
"366.32","Cataract in inflammatory ocular disorders"
"366.34","Cataract in degenerative ocular disorders"
"366.41","Diabetic cataract"
"366.44","Cataract associated with other syndromes"
"366.45","Toxic cataract"
"366.50","After-cataract, unspecified"
"366.52","Other after-cataract, not obscuring vision"
"366.53","After-cataract, obscuring vision"
"366.8","Other cataract"
"366.9","Unspecified cataract"
"367.0","Hypermetropia"
"367.1","Myopia"
"367.2","Monoplegia of upper limb affecting nondominant side"
"367.20","Astigmatism, unspecified"
"367.21","Regular astigmatism"
"367.22","Irregular astigmatism"
"367.31","Anisometropia"
"367.4","Presbyopia"
"367.4367.4","Null"
"367.51","Paresis of accommodation"
"367.53","Spasm of accommodation"
"367.81","Transient refractive change"
"367.89","Other disorders of refraction and accommodation"
"367.9","Unspecified disorder of refraction and accommodation"
"368.00","Amblyopia, unspecified"
"368.01","Strabismic amblyopia"
"368.02","Deprivation amblyopia"
"368.03","Refractive amblyopia"
"368.10","Subjective visual disturbance, unspecified"
"368.11","Sudden visual loss"
"368.12","Transient visual loss"
"368.13","Visual discomfort"
"368.14","Visual distortions of shape and size"
"368.15","Other visual distortions and entoptic phenomena"
"368.16","Psychophysical visual disturbances"
"368.2","Diplopia"
"368.30","Binocular vision disorder, unspecified"
"368.31","Suppression of binocular vision"
"368.33","Fusion with defective stereopsis"
"368.40","Visual field defect, unspecified"
"368.41","Scotoma involving central area"
"368.42","Scotoma of blind spot area"
"368.43","Sector or arcuate visual field defects"
"368.44","Other localized visual field defect"
"368.45","Generalized visual field contraction or constriction"
"368.46","Homonymous bilateral field defects"
"368.47","Heteronymous bilateral field defects"
"368.51","Protan defect"
"368.52","Deutan defect"
"368.53","Tritan defect"
"368.54","Achromatopsia"
"368.55","Acquired color vision deficiencies"
"368.59","Other color vision deficiencies"
"368.60","Night blindness, unspecified"
"368.62","Acquired night blindness"
"368.8","Other specified visual disturbances"
"368.9","Unspecified visual disturbance"
"369.00","Profound impairment, both eyes, impairment level not further specified"
"369.01","Better eye: total vision impairment; lesser eye: total vision impairment"
"369.02","Better eye: near-total vision impairment; lesser eye: not further specified"
"369.03","Better eye: near-total vision impairment; lesser eye: total vision impairment"
"369.04","Better eye: near-total vision impairment; lesser eye: near-total vision impairment"
"369.05","Better eye: profound vision impairment; lesser eye: not further specified"
"369.06","Better eye: profound vision impairment; lesser eye: total vision impairment"
"369.07","Better eye: profound vision impairment; lesser eye: near-total vision impairment"
"369.08","Better eye: profound vision impairment; lesser eye: profound vision impairment"
"369.10","Moderate or severe impairment, better eye, impairment level not further specified"
"369.11","Better eye: severe vision impairment; lesser eye: blind, not further specified"
"369.12","Better eye: severe vision impairment; lesser eye: total vision impairment"
"369.13","Better eye: severe vision impairment; lesser eye: near-total vision impairment"
"369.14","Better eye: severe vision impairment; lesser eye: profound vision impairment"
"369.15","Better eye: moderate vision impairment; lesser eye: blind, not further specified"
"369.16","Better eye: moderate vision impairment; lesser eye: total vision impairment"
"369.17","Better eye: moderate vision impairment; lesser eye: near-total vision impairment"
"369.18","Better eye: moderate vision impairment; lesser eye: profound vision impairment"
"369.20","Moderate or severe impairment, both eyes, impairment level not further specified"
"369.22","Better eye: severe vision impairment; lesser eye: severe vision impairment"
"369.23","Better eye: moderate vision impairment; lesser eye: impairment not further specified"
"369.24","Better eye: moderate vision impairment; lesser eye: severe vision impairment"
"369.25","Better eye: moderate vision impairment; lesser eye: moderate vision impairment"
"369.3","Unqualified visual loss, both eyes"
"369.4","Legal blindness, as defined in U.S.A."
"369.60","Profound impairment, one eye, impairment level not further specified"
"369.62","One eye: total vision impairment; other eye: near-normal vision"
"369.63","One eye: total vision impairment; other eye: normal vision"
"369.65","One eye: near-total vision impairment; other eye: near-normal vision"
"369.66","One eye: near-total vision impairment; other eye: normal vision"
"369.67","One eye: profound vision impairment; other eye: vision not specified"
"369.68","One eye: profound vision impairment; other eye: near-normal vision"
"369.69","One eye: profound vision impairment; other eye: normal vision"
"369.70","Moderate or severe impairment, one eye, impairment level not further specified"
"369.71","One eye: severe vision impairment; other eye: vision not specified"
"369.72","One eye: severe vision impairment; other eye: near-normal vision"
"369.75","One eye: moderate vision impairment; other eye: near-normal vision"
"369.76","One eye: moderate vision impairment; other eye: normal vision"
"369.8","Unqualified visual loss, one eye"
"369.9","Unspecified visual loss"
"370.00","Corneal ulcer, unspecified"
"370.01","Marginal corneal ulcer"
"370.03","Central corneal ulcer"
"370.07","Mooren's ulcer"
"370.20","Superficial keratitis, unspecified"
"370.21","Punctate keratitis"
"370.23","Filamentary keratitis"
"370.31","Phlyctenular keratoconjunctivitis"
"370.33","Keratoconjunctivitis sicca, not specified as Sjogren's"
"370.34","Exposure keratoconjunctivitis"
"370.35","Neurotrophic keratoconjunctivitis"
"370.40","Keratoconjunctivitis, unspecified"
"370.44","Keratitis or keratoconjunctivitis in exanthema"
"370.49","Other keratoconjunctivitis"
"370.50","Interstitial keratitis, unspecified"
"370.52","Diffuse interstitial keratitis"
"370.54","Sclerosing keratitis"
"370.55","Corneal abscess"
"370.60","Corneal neovascularization, unspecified"
"370.61","Localized vascularization of cornea"
"370.62","Pannus (corneal)"
"370.8","Other forms of keratitis"
"370.9","Unspecified keratitis"
"371.00","Corneal opacity, unspecified"
"371.01","Minor opacity of cornea"
"371.02","Peripheral opacity of cornea"
"371.03","Central opacity of cornea"
"371.04","Adherent leucoma"
"371.05","Phthisical cornea"
"371.10","Corneal deposit, unspecified"
"371.13","Posterior corneal pigmentations"
"371.15","Other corneal deposits associated with metabolic disorders"
"371.20","Corneal edema, unspecified"
"371.21","Idiopathic corneal edema"
"371.22","Secondary corneal edema"
"371.23","Bullous keratopathy"
"371.24","Corneal edema due to wearing of contact lenses"
"371.30","Corneal membrane change, unspecified"
"371.33","Rupture in descemet's membrane"
"371.40","Corneal degeneration, unspecified"
"371.41","Senile corneal changes"
"371.42","Recurrent erosion of cornea"
"371.43","Band-shaped keratopathy"
"371.46","Nodular degeneration of cornea"
"371.48","Peripheral degenerations of cornea"
"371.49","Other corneal degenerations"
"371.50","Hereditary corneal dystrophy, unspecified"
"371.52","Other anterior corneal dystrophies"
"371.53","Granular corneal dystrophy"
"371.54","Lattice corneal dystrophy"
"371.56","Other stromal corneal dystrophies"
"371.57","Endothelial corneal dystrophy"
"371.58","Other posterior corneal dystrophies"
"371.60","Keratoconus, unspecified"
"371.61","Keratoconus, stable condition"
"371.62","Keratoconus, acute hydrops"
"371.70","Corneal deformity, unspecified"
"371.71","Corneal ectasia"
"371.82","Corneal disorder due to contact lens"
"371.89","Other corneal disorders"
"371.9","Unspecified corneal disorder"
"372.00","Acute conjunctivitis, unspecified"
"372.02","Acute follicular conjunctivitis"
"372.03","Other mucopurulent conjunctivitis"
"372.04","Pseudomembranous conjunctivitis"
"372.05","Acute atopic conjunctivitis"
"372.06","Acute chemical conjunctivitis"
"372.10","Chronic conjunctivitis, unspecified"
"372.11","Simple chronic conjunctivitis"
"372.12","Chronic follicular conjunctivitis"
"372.14","Other chronic allergic conjunctivitis"
"372.20","Blepharoconjunctivitis, unspecified"
"372.21","Angular blepharoconjunctivitis"
"372.30","Conjunctivitis, unspecified"
"372.31","Rosacea conjunctivitis"
"372.34","Pingueculitis"
"372.39","Other conjunctivitis"
"372.40","Pterygium, unspecified"
"372.41","Peripheral pterygium, stationary"
"372.42","Peripheral pterygium, progressive"
"372.43","Central pterygium"
"372.45","Recurrent pterygium"
"372.51","Pinguecula"
"372.54","Conjunctival concretions"
"372.55","Conjunctival pigmentations"
"372.56","Conjunctival deposits"
"372.61","Granuloma of conjunctiva"
"372.63","Symblepharon"
"372.71","Hyperemia of conjunctiva"
"372.72","Conjunctival hemorrhage"
"372.73","Conjunctival edema"
"372.75","Conjunctival cysts"
"372.81","Conjunctivochalasis"
"372.89","Other disorders of conjunctiva"
"372.9","Unspecified disorder of conjunctiva"
"373.00","Blepharitis, unspecified"
"373.01","Ulcerative blepharitis"
"373.02","Squamous blepharitis"
"373.11","Hordeolum externum"
"373.12","Hordeolum internum"
"373.13","Abscess of eyelid"
"373.2","Chalazion"
"373.31","Eczematous dermatitis of eyelid"
"373.32","Contact and allergic dermatitis of eyelid"
"373.6","Parasitic infestation of eyelid"
"373.8","Other inflammations of eyelids"
"373.9","Unspecified inflammation of eyelid"
"374.00","Entropion, unspecified"
"374.01","Senile entropion"
"374.02","Mechanical entropion"
"374.04","Cicatricial entropion"
"374.05","Trichiasis of eyelid without entropion"
"374.10","Ectropion, unspecified"
"374.11","Senile ectropion"
"374.20","Lagophthalmos, unspecified"
"374.21","Paralytic lagophthalmos"
"374.22","Mechanical lagophthalmos"
"374.30","Ptosis of eyelid, unspecified"
"374.31","Paralytic ptosis"
"374.32","Myogenic ptosis"
"374.33","Mechanical ptosis"
"374.34","Blepharochalasis"
"374.41","Lid retraction or lag"
"374.44","Sensory disorders of eyelid"
"374.45","Other sensorimotor disorders of eyelid"
"374.50","Degenerative disorder of eyelid, unspecified"
"374.51","Xanthelasma of eyelid"
"374.52","Hyperpigmentation of eyelid"
"374.54","Hypertrichosis of eyelid"
"374.55","Hypotrichosis of eyelid"
"374.82","Edema of eyelid"
"374.84","Cysts of eyelids"
"374.86","Retained foreign body of eyelid"
"374.87","Dermatochalasis"
"374.89","Other disorders of eyelid"
"374.9","Unspecified disorder of eyelid"
"375.00","Dacryoadenitis, unspecified"
"375.01","Acute dacryoadenitis"
"375.02","Chronic dacryoadenitis"
"375.03","Chronic enlargement of lacrimal gland"
"375.15","Tear film insufficiency, unspecified"
"375.20","Epiphora, unspecified as to cause"
"375.21","Epiphora due to excess lacrimation"
"375.22","Epiphora due to insufficient drainage"
"375.30","Dacryocystitis, unspecified"
"375.31","Acute canaliculitis, lacrimal"
"375.41","Chronic canaliculitis"
"375.52","Stenosis of lacrimal punctum"
"375.56","Stenosis of nasolacrimal duct, acquired"
"375.89","Other disorders of lacrimal system"
"375.9","Unspecified disorder of lacrimal system"
"376.00","Acute inflammation of orbit, unspecified"
